[Yeas[Nays[Outcome[Issue[Title[Vote number[Congress[Session[Democratic Party Yeas[Democratic Party Nays[Republican Party Yeas[Republican Party Nays[Other Party Yeas[Other Party Nays[Tiebreaking Vote[Vote Threshold Required[Tiebreaking Authority
10640[50[50[True[PN126[Confirmation: Jennifer Ann Abruzzo, of New York, to be General Counsel of the National Labor Relations Board[273[117[1[48.0[0.0[0.0[50.0[2.0[0.0[Yea[1/2[Vice President of the United States
10644[50[50[True[PN126[Motion to Invoke Cloture: Jennifer Ann Abruzzo to be General Counsel of the National Labor Relations Board[269[117[1[48.0[0.0[0.0[50.0[2.0[0.0[Yea[1/2[Vice President of the United States
10667[50[50[False[S. 2093[Motion to Invoke Cloture: Motion to Proceed to S. 2093; A bill to expand Americans' access to the ballot box, reduce the influence of big money in politics, strengthen ethics rules for public servants, and implement other anti-corruption measures for the purpose of fortifying our democracy, and for other purposes.[246[117[1[48.0[0.0[0.0[50.0[2.0[0.0[[3/5[
10668[50[50[True[PN220[Confirmation: Kiran Arjandas Ahuja, of Massachusetts, to be Director of the Office of Personnel Management[245[117[1[48.0[0.0[0.0[50.0[2.0[0.0[Yea[1/2[Vice President of the United States
10669[50[50[True[PN220[Motion to Invoke Cloture: Kiran Arjandas Ahuja, of Massachusetts, to be Director of the Office of Personnel Management[244[117[1[48.0[0.0[0.0[50.0[2.0[0.0[Yea[1/2[Vice President of the United States
10705[50[50[False[S. 1260[Durbin Amdt. No. 2014; To express the sense of the Senate on the allocation of Special Drawing Rights by the International Monetary Fund to help other countries procure COVID-19 vaccines and protect against the economic instability caused by the COVID-19 pandemic.[208[117[1[48.0[0.0[0.0[50.0[2.0[0.0[[3/5[
10752[50[50[True[PN79-6[Motion to Discharge Colin Hackett Kahl to be Under Secretary of Defense for Policy from the Committee on Armed Services[161[117[1[48.0[0.0[0.0[50.0[2.0[0.0[Yea[1/2[Vice President of the United States
10840[50[50[True[H.R. 1319[Motion to Proceed to H.R. 1319; A bill to provide for reconciliation pursuant to title II of S. Con. Res. 5.[73[117[1[48.0[0.0[0.0[50.0[2.0[0.0[Yea[1/2[Vice President of the United States
10859[50[50[True[S.Con.Res. 5[S. Con. Res. 5, As Amended; A concurrent resolution setting forth the congressional budget for the United States Government for fiscal year 2021 and setting forth the appropriate budgetary levels for fiscal years 2022 through 2030.[54[117[1[48.0[0.0[0.0[50.0[2.0[0.0[Yea[1/2[Vice President of the United States
10860[50[50[False[S.Con.Res. 5[McConnell Amdt. No. 889; To improve the resolution.[53[117[1[0.0[48.0[50.0[0.0[0.0[2.0[Did not vote[1/2[
10861[50[50[True[S.Con.Res. 5[Schumer Amdt. No. 888; In the nature of a substitute.[52[117[1[48.0[0.0[0.0[50.0[2.0[0.0[Yea[1/2[Vice President of the United States
10862[50[50[False[S.Con.Res. 5[Rubio Amdt. No. 651; To establish a deficit-neutral reserve fund relating to catch-and-release policies and the Migrant Protection Protocols.[51[117[1[0.0[48.0[50.0[0.0[0.0[2.0[Did not vote[1/2[
10867[50[50[False[S.Con.Res. 5[Hoeven Amdt No. 887; To establish a deficit-neutral reserve fund relating to prohibiting a Federal carbon tax and preventing American job losses and regressive household utility bill, home heating, and gasoline price increases.[46[117[1[0.0[48.0[50.0[0.0[0.0[2.0[Did not vote[1/2[
10868[50[50[False[S.Con.Res. 5[Crapo Amdt. No. 55; To establish a deficit-neutral reserve fund relating to permanently extending the income tax rate reductions for individuals and small businesses provided under Public Law 115-97.[45[117[1[0.0[48.0[50.0[0.0[0.0[2.0[Did not vote[1/2[
10871[50[50[False[S.Con.Res. 5[Scott (FL) Amdt No. 872; To amend the reconciliation instructions for certain committees to fund border security and to ensure the enforcement of all immigration laws.[42[117[1[0.0[48.0[50.0[0.0[0.0[2.0[Did not vote[1/2[
10873[50[50[False[S.Con.Res. 5[Lee Amdt. No. 770; To let Federal revenues reflect continued leasing of oil and gas on Federal lands.[40[117[1[0.0[48.0[50.0[0.0[0.0[2.0[Did not vote[1/2[
10876[50[50[False[S.Con.Res. 5[Motion to Waive All Applicable Budgetary Discipline Re: Cassidy Amdt. No. 483; To create a point of order against legislation that would provide Economic Impact Payments to prisoners.[37[117[1[0.0[48.0[50.0[0.0[0.0[2.0[[3/5[
10877[50[50[False[S.Con.Res. 5[Motion to Waive All Applicable Budgetary Discipline Re: Cotton Amdt No. 66; To create a point of order against a provision in legislation that would increase the number of justices on the Supreme Court of the United States.[36[117[1[0.0[48.0[50.0[0.0[0.0[2.0[[3/5[
10879[50[50[False[S.Con.Res. 5[Lee Amdt. No. 821; To establish a spending-neutral reserve fund relating to prohibiting infringement on the free exercise of religion.[34[117[1[1.0[47.0[49.0[1.0[0.0[2.0[Did not vote[1/2[
10880[50[50[False[S.Con.Res. 5[Johnson Amdt. No. 542; To establish a deficit-neutral reserve fund relating to protecting American taxpayers and the border, which may include prohibiting the cancellation of contracts for physical barriers and other border security measures for which funds already have been obligated and for which penalties will be incurred in the case of such cancellation and prohibiting the use of funds for payment of such penalties.[33[117[1[1.0[47.0[49.0[1.0[0.0[2.0[Did not vote[1/2[
10889[50[50[False[S.Con.Res. 5[Motion to Waive All Applicable Budgetary Discipline Re: Graham Amdt. No. 687; To establish a deficit-neutral reserve fund relating to strengthening and protecting international agreements, joint declarations, or proclamations entered into by the United States and Mexico.[24[117[1[0.0[48.0[50.0[0.0[0.0[2.0[[3/5[
10893[50[50[False[S.Con.Res. 5[Toomey Amdt. No. 553; To establish a deficit-neutral reserve fund relating to ensuring that State and local law enforcement are permitted to cooperate with Federal officials to enforce Federal law.[20[117[1[0.0[48.0[50.0[0.0[0.0[2.0[Did not vote[1/2[
10896[50[50[False[S.Con.Res. 5[Blunt Amdt. No. 48; To establish a deficit-neutral reserve fund relating to prohibiting the provision of COVID-19 related kindergarten through grade 12 emergency relief to schools that do not reopen for in-person learning after the teachers of such schools are vaccinated against COVID-19.[17[117[1[0.0[48.0[50.0[0.0[0.0[2.0[Did not vote[1/2[
10898[50[50[False[S.Con.Res. 5[Scott (SC) Amdt. No. 53; To establish a deficit-neutral reserve fund relating to ensuring the accurate reporting of COVID-19 related deaths of residents or staff at nursing homes.[15[117[1[0.0[48.0[50.0[0.0[0.0[2.0[Did not vote[1/2[
10916[50[50[True[PN1542[Motion to Discharge: Mary T. Boyle to be a Commissioner of the Consumer Product Safety Commission[174[117[2[48.0[0.0[0.0[50.0[2.0[0.0[Yea[1/2[Vice President of the United States
10918[50[50[True[PN1523[Confirmation: Julia Ruth Gordon, of Maryland, to be an Assistant Secretary of Housing and Urban Development[172[117[2[48.0[0.0[0.0[50.0[2.0[0.0[Yea[1/2[Vice President of the United States
10919[50[50[True[PN1523[Motion to Invoke Cloture: Julia Ruth Gordon to be an Assistant Secretary of Housing and Urban Development[171[117[2[48.0[0.0[0.0[50.0[2.0[0.0[Yea[1/2[Vice President of the United States
10921[50[50[True[PN1541[Confirmation: Alvaro M. Bedoya, of Maryland, to be a Federal Trade Commissioner[169[117[2[48.0[0.0[0.0[50.0[2.0[0.0[Yea[1/2[Vice President of the United States
10922[50[50[True[PN1541[Motion to Invoke Cloture: Alvaro M. Bedoya to be a Federal Trade Commissioner[168[117[2[48.0[0.0[0.0[50.0[2.0[0.0[Yea[1/2[Vice President of the United States
10924[50[50[True[PN1679[Confirmation: Lisa DeNell Cook, of Michigan, to be a Member of the Board of Governors of the Federal Reserve System [166[117[2[48.0[0.0[0.0[50.0[2.0[0.0[Yea[1/2[Vice President of the United States
10950[49[49[False[S.J.Res. 41["Motion to Proceed to S.J. Res. 41; A joint resolution providing for congressional disapproval under chapter 8 of title 5, United States Code, of the rule submitted by the Department of Health and Human Services relating to ""Ensuring Access to Equitable, Affordable, Client-Centered, Quality Family Planning Services""."[140[117[2[1.0[45.0[48.0[2.0[0.0[2.0[Did not vote[1/2[
10963[50[50[True[PN1523[Motion to Discharge: Julia Ruth Gordon to be an Assistant Secretary of Housing and Urban Development, from the Committee on Banking, Housing, and Urban Affairs.[127[117[2[48.0[0.0[0.0[50.0[2.0[0.0[Yea[1/2[Vice President of the United States
10975[50[50[True[PN1541[Motion to Discharge: Alvaro M. Bedoya to be a Federal Trade Commissioner from the Committee on Commerce, Science, and Transportation[115[117[2[48.0[0.0[0.0[50.0[2.0[0.0[Yea[1/2[Vice President of the United States
